LATITUDE,LONGITUDE,geometry
-23.555297,-46.6356422,POINT (333054.8620223929 7394054.380179632)
-23.543299548249905,-46.631007302333295,POINT (333512.9053479719 7395388.348336613)
-23.554279120085095,-46.6282759954893,POINT (333805.5671833901 7394175.660394782)
-23.5455778959121,-46.6263623536954,POINT (333989.9932480233 7395141.434818803)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5554218,-46.6344036,POINT (333181.4633449415 7394042.002408019)
-23.5571452,-46.6352681,POINT (333095.387538366 7393850.149123657)
-23.5538901830842,-46.6351599873627,POINT (333102.3119637222 7394210.730561341)
-23.5571685,-46.6287291,POINT (333762.9472391787 7393855.170117628)
-23.556695807,-46.636385208,POINT (332980.7798101965 7393898.612614976)
-23.550111052,-46.639375005,POINT (332667.2267274982 7394624.311072829)
-23.558050384,-46.63022391,POINT (333611.4613537075 7393755.77685415)
-23.536754537,-46.630016997,POINT (333605.7732563094 7396114.279719764)
-23.5408943879154,-46.62898932208449,POINT (333715.9058309157 7395657.032921997)
-23.5451390929333,-46.6336131932666,POINT (333249.1771373316 7395181.611987054)
-23.550111052,-46.639375005,POINT (332667.2267274982 7394624.311072829)
-23.5596940723598,-46.637719157368096,POINT (332848.3977769666 7393565.033552505)
-23.550111052,-46.639375005,POINT (332667.2267274982 7394624.311072829)
-23.5565511,-46.6319372,POINT (333434.6717881294 7393919.814553516)
-23.5402519,-46.6325433,POINT (333352.2454585421 7395724.054861291)
-23.5412373314102,-46.6308189561282,POINT (333529.5375965413 7395616.933026765)
-23.5596324,-46.6349487,POINT (333131.1355008455 7393575.092378536)
-23.5582687,-46.6347668,POINT (333147.9816889755 7393726.318274228)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.5512141,-46.6377331,POINT (332836.2444972512 7394504.077067428)
-23.5499961025284,-46.6345104805875,POINT (333163.7013167871 7394642.710960047)
-23.5523761,-46.6256772,POINT (334068.4791606514 7394389.408504397)
-23.5524268,-46.6291179,POINT (333717.288774408 7394379.806377523)
-23.5404951,-46.6336902,POINT (333235.456530702 7395695.789947723)
-23.5577168,-46.6366963,POINT (332950.3131564276 7393785.186726741)
-23.5506033044098,-46.6264104792218,POINT (333991.3928890129 7394584.875307158)
-23.54502538,-46.6310911269999,POINT (333506.5211536227 7395197.135591119)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5492117425556,-46.6302262686194,POINT (333600.0888979888 7394734.549670666)
-23.5549387,-46.6355915,POINT (333059.5850153758 7394094.116831819)
-23.5432896777368,-46.626722327842096,POINT (333950.3677294712 7395394.410592956)
-23.5476409,-46.6303335,POINT (333587.1634991833 7394908.377415951)
-23.5492045,-46.6336483,POINT (333250.7224946095 7394731.374967055)
-23.5369102247574,-46.6330614715235,POINT (333295.1280111296 7396093.503470501)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5541574892658,-46.6290406344292,POINT (333727.3547347393 7394188.242629495)
-23.5501509,-46.6386509,POINT (332741.2011607168 7394620.743522104)
-23.5428677026913,-46.6332338545195,POINT (333285.0404349616 7395433.582877691)
-23.5364198,-46.6333092,POINT (333269.2164886852 7396147.524201127)
-23.5582118,-46.6338292,POINT (333243.6235188373 7393733.710771752)
-23.5508848,-46.6395687,POINT (332648.4323224028 7394538.401203902)
-23.561308872747,-46.638425444010096,POINT (332778.3426566025 7393385.388619255)
-23.5577168,-46.6366963,POINT (332950.3131564276 7393785.186726741)
-23.542793412,-46.631969892,POINT (333413.9917423566 7395443.278835111)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5554688029999,-46.635279699,POINT (333092.0853695393 7394035.777237188)
-23.5572512,-46.6363269,POINT (332987.4343760025 7393837.177181821)
-23.5473592410205,-46.6358789769646,POINT (333020.6595481815 7394933.119198139)
-23.554665,-46.6297464,POINT (333655.9444678533 7394131.222770811)
-23.5562699,-46.6306532,POINT (333565.3945269828 7393952.446060078)
-23.5559094,-46.6297162,POINT (333660.5943265912 7393993.45516189)
-23.5598642735277,-46.6305807819722,POINT (333577.3159944981 7393554.49533014)
-23.5558537,-46.629199,POINT (333713.322752988 7394000.223533811)
-23.5396641,-46.6323566,POINT (333370.5662153497 7395789.363706667)
-23.556930473,-46.6314689239999,POINT (333482.9539271807 7393878.347657334)
